Linear,Digital,Overlap
6049,47586,94
6049,48393,97
6049,49199,99
6049,50006,100
6049,50812,100
6049,51619,100
6049,52425,101
6049,53232,102
6049,54038,103
6049,54845,104
6049,55651,106
6049,56458,106
6049,57265,106
6049,58071,108
6049,58878,109
6049,59684,112
6049,60491,115
6049,61297,117
6049,62104,119
6049,62910,122
6049,63717,124
6049,64524,127
6049,65330,132
6049,66137,134
6049,66943,135
6049,67750,136
6049,68556,138
6049,69363,139
6049,70169,140
6049,70976,141
6049,71782,142
6049,72589,143
6049,73396,147
6049,74202,151
6049,75009,153
6049,75815,156
6049,76622,156
6049,77428,158
6049,78235,160
6049,79041,163
6049,79848,164
6049,80655,165
8065,0,0
8065,806,0
8065,1613,3
8065,2419,4
8065,3226,7
8065,4032,9
8065,4839,9
8065,5645,11
8065,6452,15
8065,7258,18
8065,8065,23
8065,8872,25
8065,9678,26
8065,10485,27
8065,11291,30
8065,12098,31
8065,12904,33
8065,13711,36
8065,14517,40
8065,15324,40
8065,16131,41
8065,16937,41
8065,17744,42
8065,18550,43
8065,19357,44
8065,20163,44
8065,20970,45
8065,21776,51
8065,22583,52
8065,23389,53
8065,24196,56
8065,25003,58
8065,25809,60
8065,26616,60
8065,27422,64
8065,28229,66
8065,29035,67
8065,29842,73
8065,30648,77
8065,31455,80
8065,32262,81
8065,33068,85
8065,33875,88
8065,34681,90
8065,35488,94
8065,36294,97
8065,37101,97
8065,37907,99
8065,38714,99
8065,39520,102
8065,40327,105
8065,41134,109
8065,41940,111
8065,42747,113
8065,43553,119
8065,44360,120
8065,45166,122
8065,45973,122
8065,46779,123
8065,47586,124
8065,48393,127
8065,49199,129
8065,50006,130
8065,50812,130
8065,51619,130
8065,52425,131
8065,53232,132
8065,54038,133
8065,54845,135
8065,55651,137
8065,56458,139
8065,57265,139
8065,58071,142
8065,58878,143
8065,59684,147
8065,60491,151
8065,61297,153
8065,62104,156
8065,62910,159
8065,63717,161
8065,64524,165
8065,65330,170
8065,66137,173
8065,66943,174
8065,67750,176
8065,68556,178
8065,69363,179
8065,70169,180
8065,70976,181
8065,71782,183
8065,72589,185
8065,73396,190
8065,74202,195
8065,75009,197
8065,75815,200
8065,76622,202
8065,77428,204
8065,78235,207
8065,79041,213
8065,79848,214
8065,80655,216
10081,0,0
10081,806,0
10081,1613,3
10081,2419,4
10081,3226,7
10081,4032,10
10081,4839,10
10081,5645,12
10081,6452,16
10081,7258,20
10081,8065,25
10081,8872,28
10081,9678,29
10081,10485,30
10081,11291,36
10081,12098,37
10081,12904,40
10081,13711,43
10081,14517,49
10081,15324,50
10081,16131,53
10081,16937,53
10081,17744,54
10081,18550,55
10081,19357,56
10081,20163,57
10081,20970,58
10081,21776,65
10081,22583,66
10081,23389,68
10081,24196,71
10081,25003,73
10081,25809,76
10081,26616,78
10081,27422,82
10081,28229,84
10081,29035,87
10081,29842,94
10081,30648,99
10081,31455,102
10081,32262,103
10081,33068,107
10081,33875,111
10081,34681,113
10081,35488,117
10081,36294,120
10081,37101,120
10081,37907,123
10081,38714,123
10081,39520,127
10081,40327,130
10081,41134,134
10081,41940,136
10081,42747,139
10081,43553,146
10081,44360,149
10081,45166,151
10081,45973,151
10081,46779,152
10081,47586,154
10081,48393,158
10081,49199,160
10081,50006,162
10081,50812,163
10081,51619,164
10081,52425,165
10081,53232,166
10081,54038,167
10081,54845,171
10081,55651,173
10081,56458,176
10081,57265,176
10081,58071,179
10081,58878,180
10081,59684,185
10081,60491,189
10081,61297,191
10081,62104,195
10081,62910,199
10081,63717,203
10081,64524,208
10081,65330,214
10081,66137,217
10081,66943,219
10081,67750,221
10081,68556,223
10081,69363,224
10081,70169,225
10081,70976,226
10081,71782,229
10081,72589,231
10081,73396,236
10081,74202,241
10081,75009,244
10081,75815,248
10081,76622,250
10081,77428,253
10081,78235,258
10081,79041,264
10081,79848,266
10081,80655,268
12098,0,0
12098,806,0
12098,1613,4
12098,2419,5
12098,3226,8
12098,4032,11
12098,4839,12
12098,5645,14
12098,6452,18
12098,7258,22
12098,8065,27
